Warning: truncated output (original token count: 28163)
Total output lines: 1213

date,cash,market_value,positions,return,drawdown
2021-06-10,90720.0583682119,310876.0583682119,16,0.006810827379544859,-0.7058274577658215
2021-06-11,90720.0583682119,306687.0583682119,16,-0.013474823445678186,-0.7097913808349934
2021-06-15,58597.0440634968,308862.0440634968,18,0.007091873086713774,-0.7077332581392047
2021-06-16,58597.0440634968,308663.0440634968,18,-0.0006443005990048878,-0.7079215657760549
2021-06-17,58597.0440634968,308921.0440634968,18,0.000835862941683807,-0.707677428236822
2021-06-18,58597.0440634968,310028.0440634968,18,0.003583439915386455,-0.7066299078649974
2021-06-21,60439.8498388317,310280.8498388317,18,0.0008154287335473409,-0.7063906854623071
2021-06-22,60439.8498388317,309269.8498388317,18,-0.0032583383748147066,-0.7073473639590683
2021-06-23,60439.8498388317,309205.8498388317,18,-0.0002069390211602018,-0.7074079252091106
2021-06-24,60439.8498388317,293529.8498388317,18,-0.0506976178108236,-0.722241646391335
2021-06-25,60439.8498388317,304013.8498388317,18,0.03571698076279617,-0.7123209566187884
2021-06-28,68110.07146060666,304551.07146060665,18,0.0017670958808611026,-0.7118126001662193
2021-06-29,68110.07146060666,301667.07146060665,18,-0.009469676091331869,-0.7145416414962484
2021-06-30,68110.07146060666,302275.07146060665,18,0.0020154669087886212,-0.713966309620847
2021-07-01,68110.07146060666,294361.07146060665,18,-0.02618145109273884,-0.7214550866963844
2021-07-02,68110.07146060666,295097.07146060665,18,0.002500330618950386,-0.7207586323208984
2021-07-05,83762.45854326656,301545.4585432666,17,0.021851748818594308,-0.714656720094614
2021-07-06,83762.45854326656,299660.4585432666,17,-0.0062511304567683945,-0.7164404381622647
2021-07-07,83762.45854326656,304190.4585432666,17,0.015117109618071112,-0.7121538371827114
2021-07-08,83762.45854326656,301941.4585432666,17,-0.007393394292412037,-0.7142819973599775
2021-07-09,83762.45854326656,288247.4585432666,17,-0.045353162384746626,-0.727240212329956
2021-07-12,60633.910867221566,293413.91086722154,18,0.017923669995444147,-0.7223513559077307
2021-07-13,60633.910867221566,291543.91086722154,18,-0.006373249293031069,-0.7241208799324028
2021-07-14,60633.910867221566,289151.91086722154,18,-0.0082045959831053,-0.7263843566527319
2021-07-15,60633.910867221566,291270.91086722154,18,0.007328327845542271,-0.7243792115146143
